n,Population Size,Crossover Type,Selection Type,Replacement Type,Mutation Rate,Number of Parents,Crossover Points,Success Rate
10,4,1,1,1,0.0,2,1,0.0
10,4,1,1,1,0.0,3,1,0.0
10,4,1,1,1,0.1,2,1,30.0
10,4,1,1,1,0.1,3,1,54.0
10,4,1,1,1,0.2,2,1,40.0
10,4,1,1,1,0.2,3,1,64.0
10,4,1,1,1,0.30000000000000004,2,1,46.0
10,4,1,1,1,0.30000000000000004,3,1,60.0
10,4,1,1,1,0.4,2,1,48.0
10,4,1,1,1,0.4,3,1,74.0
10,4,1,1,1,0.5,2,1,38.0
10,4,1,1,1,0.5,3,1,70.0
10,4,1,1,1,0.6,2,1,34.0
10,4,1,1,1,0.6,3,1,52.0
10,4,1,1,1,0.7,2,1,18.0
10,4,1,1,1,0.7,3,1,44.0
10,4,1,1,1,0.7999999999999999,2,1,10.0
10,4,1,1,1,0.7999999999999999,3,1,42.0
10,4,1,1,1,0.8999999999999999,2,1,24.0
10,4,1,1,1,0.8999999999999999,3,1,40.0
10,4,1,1,1,0.9999999999999999,2,1,10.0
10,4,1,1,1,0.9999999999999999,3,1,48.0
10,4,1,1,2,0.0,2,1,0.0
10,4,1,1,2,0.0,3,1,0.0
10,4,1,1,2,0.1,2,1,0.0
10,4,1,1,2,0.1,3,1,0.0
10,4,1,1,2,0.2,2,1,2.0
10,4,1,1,2,0.2,3,1,0.0
10,4,1,1,2,0.30000000000000004,2,1,0.0
10,4,1,1,2,0.30000000000000004,3,1,0.0
10,4,1,1,2,0.4,2,1,0.0
10,4,1,1,2,0.4,3,1,0.0
10,4,1,1,2,0.5,2,1,0.0
10,4,1,1,2,0.5,3,1,0.0
10,4,1,1,2,0.6,2,1,0.0
10,4,1,1,2,0.6,3,1,0.0
10,4,1,1,2,0.7,2,1,0.0
10,4,1,1,2,0.7,3,1,0.0
10,4,1,1,2,0.7999999999999999,2,1,0.0
10,4,1,1,2,0.7999999999999999,3,1,0.0
10,4,1,1,2,0.8999999999999999,2,1,0.0
10,4,1,1,2,0.8999999999999999,3,1,0.0
10,4,1,1,2,0.9999999999999999,2,1,0.0
10,4,1,1,2,0.9999999999999999,3,1,0.0
10,4,1,2,1,0.0,2,1,0.0
10,4,1,2,1,0.0,3,1,0.0
10,4,1,2,1,0.1,2,1,36.0
10,4,1,2,1,0.1,3,1,40.0
10,4,1,2,1,0.2,2,1,36.0
10,4,1,2,1,0.2,3,1,36.0
10,4,1,2,1,0.30000000000000004,2,1,42.0
10,4,1,2,1,0.30000000000000004,3,1,50.0
10,4,1,2,1,0.4,2,1,54.0
10,4,1,2,1,0.4,3,1,48.0
10,4,1,2,1,0.5,2,1,48.0
10,4,1,2,1,0.5,3,1,36.0
10,4,1,2,1,0.6,2,1,32.0
10,4,1,2,1,0.6,3,1,34.0
10,4,1,2,1,0.7,2,1,34.0
10,4,1,2,1,0.7,3,1,26.0
10,4,1,2,1,0.7999999999999999,2,1,22.0
10,4,1,2,1,0.7999999999999999,3,1,16.0
10,4,1,2,1,0.8999999999999999,2,1,20.0
10,4,1,2,1,0.8999999999999999,3,1,10.0
10,4,1,2,1,0.9999999999999999,2,1,12.0
